PING 180.149.145.158 (180.149.145.158) 56(84) bytes of data.
64 bytes from 180.149.145.158: icmp_seq=1 ttl=50 time=76.7 ms
64 bytes from 180.149.145.158: icmp_seq=2 ttl=50 time=35.1 ms
64 bytes from 180.149.145.158: icmp_seq=3 ttl=50 time=28.6 ms
64 bytes from 180.149.145.158: icmp_seq=4 ttl=50 time=31.8 ms
64 bytes from 180.149.145.158: icmp_seq=5 ttl=50 time=29.8 ms
64 bytes from 180.149.145.158: icmp_seq=6 ttl=50 time=28.7 ms
64 bytes from 180.149.145.158: icmp_seq=7 ttl=50 time=30.8 ms
64 bytes from 180.149.145.158: icmp_seq=8 ttl=50 time=63.6 ms
64 bytes from 180.149.145.158: icmp_seq=9 ttl=50 time=26.8 ms
64 bytes from 180.149.145.158: icmp_seq=10 ttl=50 time=49.8 ms
64 bytes from 180.149.145.158: icmp_seq=11 ttl=50 time=28.7 ms
64 bytes from 180.149.145.158: icmp_seq=12 ttl=50 time=37.9 ms
64 bytes from 180.149.145.158: icmp_seq=13 ttl=50 time=40.7 ms
64 bytes from 180.149.145.158: icmp_seq=14 ttl=50 time=53.5 ms
64 bytes from 180.149.145.158: icmp_seq=15 ttl=50 time=37.0 ms
64 bytes from 180.149.145.158: icmp_seq=16 ttl=50 time=35.6 ms
64 bytes from 180.149.145.158: icmp_seq=17 ttl=50 time=28.8 ms
64 bytes from 180.149.145.158: icmp_seq=18 ttl=50 time=27.8 ms
64 bytes from 180.149.145.158: icmp_seq=19 ttl=50 time=29.8 ms
64 bytes from 180.149.145.158: icmp_seq=20 ttl=50 time=27.8 ms
64 bytes from 180.149.145.158: icmp_seq=21 ttl=50 time=27.0 ms
64 bytes from 180.149.145.158: icmp_seq=22 ttl=50 time=31.5 ms
64 bytes from 180.149.145.158: icmp_seq=23 ttl=50 time=34.8 ms
64 bytes from 180.149.145.158: icmp_seq=24 ttl=50 time=26.7 ms
64 bytes from 180.149.145.158: icmp_seq=25 ttl=50 time=32.0 ms
64 bytes from 180.149.145.158: icmp_seq=26 ttl=50 time=28.3 ms
